# el-niño-del-pijama-de-rayas
# Total frases: 375 (filtradas y balanceadas)
# ========================================


## EASY (16 frases)

1. [86|dialogue] «Es curioso que nunca me haya preguntado qué hace esa gente ahí —pensó el niño—.
39. [93|descriptive] Algunos formaban una especie de cadena de presos y empujaban carretillas a través del campo; salían de un sitio que quedaba fuera del alcance de la vista y llevaban sus carretillas detrás de una cabana, donde desaparecían nuevamente.

40. [93|poetic] Padre rió, lo cual molestó aún más a Bruno; no había nada que lo enfureciera más que un adulto se riera de él por no saber algo, sobre todo cuando él estaba esforzándose por averiguarlo.

41. [93|descriptive] Y debía de haberse dormido llorando todas las noches desde que llegara a Os Vais, igual que muchos niños más pequeños o menos valientes que él.

42. [93|descriptive] El niño observó cómo cogía el botiquín verde de un armario y llenaba un cuenco con agua, probándo la primero con el dedo para asegurarse de que no estaba demasiado fría.

43. [93|poetic] Bruno estaba a punto de marcharse cuando se fijó en las hortalizas, y en su mente se formó una pregunta que llevaba tiempo intrigándolo.

44. [93|descriptive] Solía llevarle pan y queso, y de vez en cuando hasta conseguía esconder un trozo de pastel de chocolate en su bolsillo, pero la caminata desde la casa hasta el tramo de alambrada donde se encontraban era larga, y a veces a Bruno le entraba hambre por el camino y tomaba un bocado de pastel, y un bocado llevaba a otro, y luego a otro, y cuando sólo quedaba un pedacito pensaba que no estaría bien dárselo a Shmuel porque no conseguiría saciar su hambre, sólo engañarla.

45. [93|narrative] Se había marchado unos días antes, la noche del día que Bruno llegó a casa y encontró a Maria revolviendo sus cosas, incluso las pertenencias que él había escondido en el fondo del mueble, que eran suyas y de nadie más.

46. [93|narrative] Padre siempre se quedaba a escuchar, y Bruno también porque nada le gustaba más que oír a la Abuela cantar a pleno pulmón y, al final, empaparse de los aplausos de los invitados.

47. [93|narrative] Unos días más tarde, Bruno, a solas en su habitación, empezó a pensar en todo aquello que le gustaba hacer en su antigua casa y que no podía repetir en Auchviz.

48. [92|descriptive] Antes de marcharse, formaron una hilera, como si fueran soldaditos de juguete, y saludaron estirando un brazo al frente, como Padre había enseñado a saludar a Bruno, con la palma de la mano hacia abajo, levantando el brazo con un firme movimiento mientras gritaban las dos palabras que a Bruno le habían enseñado que debía decir siempre que alguien se las dijera a él.

49. [92|poetic] Aquel diálogo había tenido lugar unos tres años antes de que la familia se mudara a Auchviz, y durante ese tiempo Bruno no había pensado mucho en herr Roller.

50. [92|dialogue] Tenía el cabello negro, muy corto, y un bigote diminuto (tan diminuto que Bruno se preguntó para qué lo llevaba, o si sería que se había dejado un trozo al afeitarse).

51. [92|descriptive] El tercer día, cuando Bruno llegó allí, no estaba; esperó diez minutos y estaba a punto de volver a casa, sumamente preocupado por tener que marcharse de Auchviz sin haberse despedido de su amigo, cuando a lo lejos un punto se convirtió en una manchita que se convirtió en un borrón que se convirtió en una figura • que a su vez se convirtió en el niño del pijama de rayas.

52. [92|descriptive] Durante las clases de la mañana con herr Liszt, Bruno miró una y otra vez por la ventana, pero no 201 parecía que fuera a remitir, pues la lluvia golpeaba ruidosamente los cristales.

53. [92|dialogue] Es posible que Shmuel abriera la boca para contestar, pero Bruno nunca escuchó lo que dijo porque en aquel momento se oyó una fuerte exclamación de asombro de todas las personas del pijama de rayas que habían entrado allí, y al mismo tiempo la puerta se cerró con un resonante sonido metálico.

54. [92|narrative] Entonces la puerta del despacho se cerró y Bruno no oyó nada más, de modo que le pareció buena idea volver a su habitación y encargarse personalmente de hacer las maletas; de lo contrario, María sacaría todas sus cosas del armario sin cuidado ni consideración, incluso las pertenencias que él había escondido en el fondo del mueble y que eran suyas y de nadie más.

55. [92|narrative] Se asomó y vio el coche en que habían llegado, así como tres o cuatro coches más de los soldados de Padre, algunos de los cuales andaban por allí, fumando cigarrillos y riendo de algo mientras miraban con nerviosismo hacia el edificio.

56. [92|narrative] Siguió caminando, y cada vez que miraba hacia atrás la casa en que vivía se veía más pequeña, hasta que dejó de verse por completo.

57. [92|narrative] A Gretel le habían dicho infinidad de veces que no debía llamar estúpido a su hermano, pero aun así ella seguía haciéndolo.

58. [91|dialogue] Subió despacio la escalera hacia su dormitorio, pero antes de entrar miró hacia abajo y vio a Madre abriendo la puerta del despacho de Padre, que se comunicaba con el comedor —y donde estaba Prohibido Entrar Bajo Ningún Concepto y Sin Excepciones—, y la oyó gritarle hasta que Padre gritó mucho más fuerte que ella, poniendo fin a la conversación.

59. [91|descriptive] Al niño le dio un retortijón; algo crecía en su interior, algo que cuando ascendiera de las profundidades de su ser y saliera al mundo exterior le haría gritar y chillar que todo aquello era una equivocación y una injusticia y un grave error por el que alguien pagaría tarde o temprano, o que sencillamente le haría prorrumpir en llanto.

60. [91|descriptive] No le gustó: era un sonido muy hueco, así que decidió que sería mejor no ir dando saltos por aquella casa porque podía derrumbarse y caérseles encima.

61. [91|poetic] Pero ella seguía mirando por la ventana, y esta vez no contemplaba las flores ni el adoquinado ni el banco con la placa ni la alta alambrada ni los postes de madera ni el alambre de espino ni la tierra reseca que había detrás ni las cabanas ni los pequeños edificios ni las columnas de humo: estaba mirando a la gente.

62. [91|dialogue] Lo imitó a la perfección: juntó los pies y levantó un brazo antes de entrechocar los talones y articular con voz fuerte y clara —lo más parecida a la de Padre— las palabras con que siempre se despedían los soldados: —Heil, Hitlerl —Lo cual, suponía él, significaba algo como «Hasta luego, que tengas un buen día».

63. [91|descriptive] La pierna le dolía más que el brazo, y cuando se miró la rodilla, que asomaba justo por debajo de sus pantalones cortos, vio un ancho corte que parecía estar esperando a que Bruno lo descubriera, pues en ese instante la herida empezó a sangrar profusamente.

64. [91|descriptive] El niño se encargaba de poner el broche final a la obra recitando un largo poema de algún Gran Poeta; le costaba mucho entender aquellas composiciones, pero, curiosamente, cuanto más las leía más bonitas sonaban las palabras.

65. [91|poetic] Fuera cual fuese el papel, y aunque el de Bruno resultara muy pequeño comparado con el de su hermana o su abuela, él siempre se disfrazaba de príncipe o de jeque árabe, y en una ocasión hasta de gladiador romano.

66. [91|descriptive] Recordaba lo amable que había sido Pavel con él la tarde que había montado el columpio, y cómo le había parado la hemorragia de la rodilla y el cuidado con que le había aplicado el ungüento verde.

67. [91|descriptive] Le encantaba echar a andar por la alambrada todas las tardes y se alegraba de ver que su amigo parecía mucho más contento últimamente y que ya no tenía los ojos tan hundidos, aunque seguía teniendo el cuerpo extremadamente delgado y la cara de una palidez muy desagradable.

68. [91|dialogue] Se preguntó si también a él le habrían dicho que volvía a su casa; después de todo, a veces ocurren coincidencias como ésa, como el hecho de que Bruno y Shmuel hubieran nacido el mismo día.

69. [91|descriptive] A Madre no le gusta Auchviz, dice que no es un sitio adecuado para criar a dos hijos, así que Padre va a quedarse trabajando aquí porque el Furias tiene grandes proyectos para él, pero los demás volvemos al hogar.

70. [91|descriptive] De no ser porque aquélla iba a ser la última oportunidad para él y Shmuel de pasar un rato juntos (por no mencionar que la aventura prometía ser muy emocionante, sobre todo porque incluía un disfraz), lo habría dejado para otro día y habría esperado hasta la semana siguiente, cuando no tenía planeado nada especial.

71. [91|poetic] Shmuel asintió; Bruno le había hablado mucho de ella todo aquel año y le había explicado cuánto la quería y cómo lamentaba no haber tenido tiempo para escribirle más cartas antes de su muerte.

72. [91|descriptive] De hecho, allá donde mirase, lo único que veía era dos clases de personas: alegres soldados uniformados que reían y gritaban, y personas cabizbajas con su pijama de rayas, la mayoría con la mirada perdida, como si se hubieran dormido con los ojos abiertos.

73. [91|descriptive] Se oía un poco de alboroto hacia el fondo, donde algunas personas parecían reacias a desfilar, pero Bruno era demasiado bajito para ver qué pasaba y lo único que oyó fueron unos fuertes ruidos que parecían disparos, aunque no lo sabía con certeza.

74. [91|narrative] A continuación, Shmuel hizo algo que nunca había hecho: levantó la base de la alambrada como hacía cuando Bruno le llevaba comida, pero aquella vez metió la mano por el hueco y la dejó allí, esperando a que Bruno hiciera lo mismo, y entonces los dos niños se estrecharon la mano y se sonrieron.

75. [91|narrative] Bruno no pudo terminar la frase porque Gretel soltó un grito desgarrador, un grito que despertó a Madre de su siesta y la hizo irrumpir en la habitación para averiguar cuál de sus dos hijos había matado al otro.

76. [91|narrative] Durante las clases de Geografía e Historia de la tarde siguió mirando, pero la lluvia volvió a arreciar aún más y amenazó con romper los cristales de la ventana.

77. [91|narrative] Le produjo una sensación muy extraña quitarse los pantalones al aire libre, y no quería ni imaginar lo que pensaría cualquiera que lo viera haciéndolo, pero al final, y con gran esfuerzo, logró completar la tarea.

78. [90|descriptive] No le importaba demasiado que enviaran a Gretel a algún sitio, porque ella era tonta de remate y no hacía más que fastidiarlo, pero le pareció un poco injusto que todos tuvieran que irse con ella.

79. [90|dialogue] Su hermano se acercó a la ventana y, mientras contemplaba a aquellos cientos de personas que trajinaban o deambulaban a lo lejos, reparó en que todos —los niños pequeños, los niños no tan pequeños, los padres, los abuelos, los tíos, los hombres que vivían en las calles y que no parecían tener familia— llevaban la misma ropa: un pijama gris de rayas y una gorra gris de rayas.

80. [90|descriptive] Sin embargo, la norma que se aplicaba al despacho de Padre en Berlín era una de las más importantes que Bruno había aprendido, y no era tan tonto como para pensar que no fuera a aplicarse también allí, en Auchviz.

81. [90|poetic] Padre suspiró e hizo un gesto animándolo a formular la pregunta, al mismo tiempo que le advertía que se trataba de la última y que luego el tema quedaría zanjado.

82. [90|descriptive] Cuando el niño levantó de nuevo la cabeza, vio a Pavel corriendo hacia él, y entonces se sintió lo bastante seguro para abandonarse a la sensación de mareo que lo embargaba.

83. [90|dialogue] Siempre había alguna canción —«¿Me estás pidiendo que cante una canción?», preguntaba ella antes— y una oportunidad para que Bruno hiciera algún truco de magia y Gretel bailara.

84. [90|descriptive] El día de Navidad, Padre se puso el uniforme nuevo, el almidonado y planchado que ahora llevaba todos los días, y la familia al completo lo aplaudió cuando hizo su primera aparición vestido de esa guisa.

85. [90|descriptive] El Abuelo se mostró muy orgulloso de su hijo cuando lo vio con su nuevo uniforme; la Abuela fue la única que no parecía impresionada.

86. [90|descriptive] Todas las mañanas desayunábamos juntos a las siete en punto, y mientras nosotros estábamos en la escuela, mi padre arreglaba los relojes que le llevaba la gente y también fabricaba relojes nuevos.

87. [90|dialogue] Decidió que ya había explorado suficiente por ese día y echó a andar hacia su casa, emocionado por lo que había pasado e impaciente por contarles a Madre, Padre, Gretel — que se pondría tan celosa que explotaría—, Maria, el cocinero y Lars su aventura de aquella tarde, lo de su nuevo amigo con aquel nombre tan raro y el hecho de que hubieran nacido el mismo día, pero, a medida que se acercaba a su casa, empezó a pensar que quizá no fuera tan buena idea.

88. [90|descriptive] De hecho, le gustaban las rayas y estaba hartándose de tener que llevar pantalones, camisas, corbatas y zapatos que le apretaban, cuando Shmuel y sus amigos podían ir todo el día con su pijama de rayas.

89. [90|descriptive] Además, siempre que Padre tenía que ir a Berlín y pasar allí la noche, el teniente se quedaba en la casa como si él estuviera al mando: todavía no se había marchado cuando Bruno iba a acostarse y ya había vuelto por la mañana antes de que él se despertara.

90. [90|descriptive] Le había hecho una promesa a su amigo y él no era de los que faltan a su palabra, 208 sobre todo tratándose de la última vez que iban a verse.

91. [90|poetic] Miró el cielo y entonces oyó otro fragor, el ruido de un trueno, y de inmediato el cielo pareció oscurecerse más, hasta volverse casi negro, y empezó a llover a cántaros, aún más fuerte que por la mañana.

92. [90|narrative] Subió al piso de arriba y se giró lentamente, describiendo un círculo completo, con la esperanza de descubrir una pequeña puerta o un armario que más tarde podría explorar, pero no había nada.

93. [90|narrative] Bruno se sentó en la cama y por un instante sintió ganas de que Gretel se sentara a su lado, lo abrazara y le asegurara que todo saldría bien y que al final aquello acabaría gustándoles tanto que ya no querrían regresar a Berlín.

94. [90|narrative] Y pese a que observaba a menudo a aquellas personas, a los diferentes tipos de personas con sus pijamas de rayas, nunca se le había ocurrido preguntarse qué significaba todo aquello.

